rank_abs_lr_coef,gene_id,gene_id_base,gene_name,lr_coef,abs_lr_coef,direction_if_high,scaler_mean,scaler_scale
627,ENSG00000160917.15,ENSG00000160917,,-0.03696702788838946,0.03696702788838946,normal,4.006729413989863,0.7129642047607601
628,ENSG00000135119.15,ENSG00000135119,,0.03677782724387402,0.03677782724387402,tumor,1.2126234072587634,0.8357072231641521
629,ENSG00000161179.14,ENSG00000161179,,0.03675451959765874,0.03675451959765874,tumor,5.032748453830767,0.9850671329378885
630,ENSG00000169188.5,ENSG00000169188,,-0.036667993815497714,0.036667993815497714,normal,4.987191982921857,0.7043222982337216
631,ENSG00000121621.7,ENSG00000121621,,-0.03656976335893635,0.03656976335893635,normal,1.84942029802008,1.1531201530880597
632,ENSG00000187840.5,ENSG00000187840,,-0.03652334633558273,0.03652334633558273,normal,6.5907998475984675,1.361511246422396
633,ENSG00000118596.12,ENSG00000118596,,0.036520337699820736,0.036520337699820736,tumor,1.9622526397329838,1.4151133701359102
634,ENSG00000148218.16,ENSG00000148218,,-0.03647009465231192,0.03647009465231192,normal,5.375058245999852,0.8796039502471295
635,ENSG00000162302.13,ENSG00000162302,,0.036453823991269056,0.036453823991269056,tumor,5.018065987061796,0.8853453656351775
636,ENSG00000168476.12,ENSG00000168476,,-0.03637695328194362,0.03637695328194362,normal,4.967452531381181,1.1721359716654582
637,ENSG00000168005.9,ENSG00000168005,,0.03635347584177981,0.03635347584177981,tumor,4.294860799563005,1.0272089818707848
638,ENSG00000175634.15,ENSG00000175634,,-0.036335753766800136,0.036335753766800136,normal,4.009313123268701,0.6947237485298602
639,ENSG00000129173.13,ENSG00000129173,,-0.03627526063896251,0.03627526063896251,normal,1.6652520280939298,1.3446326948760992
640,ENSG00000019991.18,ENSG00000019991,,0.036262793388859925,0.036262793388859925,tumor,1.682384186543947,1.1319284986107778
641,ENSG00000133687.16,ENSG00000133687,,0.03623664709061589,0.03623664709061589,tumor,2.488574879563026,1.4379160411579748
642,ENSG00000123415.15,ENSG00000123415,,0.03618339343897802,0.03618339343897802,tumor,3.857339057321195,0.5723385373830393
643,ENSG00000165424.7,ENSG00000165424,,0.03615730385132709,0.03615730385132709,tumor,4.075884688563814,1.298422201039325
644,ENSG00000101057.16,ENSG00000101057,,-0.036114734384460924,0.036114734384460924,normal,3.799777627241446,2.4230835424986523
645,ENSG00000102683.8,ENSG00000102683,,-0.0360969717825735,0.0360969717825735,normal,1.0533538626576069,1.351871222086762
646,ENSG00000095906.17,ENSG00000095906,,-0.03608702408065693,0.03608702408065693,normal,4.912994031402872,0.6823541468103931
647,ENSG00000004059.11,ENSG00000004059,,-0.03606850770816484,0.03606850770816484,normal,7.13345592299931,0.7300549005964054
648,ENSG00000101132.10,ENSG00000101132,,-0.03605164995876153,0.03605164995876153,normal,4.71638820457395,0.7985770191203191
649,ENSG00000178537.10,ENSG00000178537,,-0.036048089613952033,0.036048089613952033,normal,5.039469749354047,0.9102377981058163
650,ENSG00000164197.12,ENSG00000164197,,-0.036038772842707505,0.036038772842707505,normal,2.362170259039168,1.3140197404029765
651,ENSG00000103269.14,ENSG00000103269,,0.035991028836894326,0.035991028836894326,tumor,2.044020348455579,1.129801206592621
652,ENSG00000050344.9,ENSG00000050344,,0.035872890477861914,0.035872890477861914,tumor,3.2816395373376666,1.434779899882165
653,ENSG00000164442.10,ENSG00000164442,,-0.035854320888786366,0.035854320888786366,normal,6.528523663603595,1.3994565150809584
654,ENSG00000068976.14,ENSG00000068976,,0.03584670501761953,0.03584670501761953,tumor,1.5824180127110943,1.5031320250429923
655,ENSG00000018236.15,ENSG00000018236,,0.03583651050250518,0.03583651050250518,tumor,2.0841754498807163,1.7390763832992662
656,ENSG00000176101.12,ENSG00000176101,,-0.0357514076676654,0.0357514076676654,normal,6.848293859844955,0.7076506335560296
657,ENSG00000178295.15,ENSG00000178295,,-0.035661034670352504,0.035661034670352504,normal,1.9887392735778278,0.7995317638951241
658,ENSG00000095713.14,ENSG00000095713,,-0.03563907655195965,0.03563907655195965,normal,2.2574575715654532,2.107246292984943
659,ENSG00000164877.19,ENSG00000164877,,0.03551000606469585,0.03551000606469585,tumor,3.337856535445686,1.0556505335301647
660,ENSG00000172935.9,ENSG00000172935,,-0.03539924319791822,0.03539924319791822,normal,2.6582756058858608,1.662714700864246
661,ENSG00000186105.8,ENSG00000186105,,0.03538912581821426,0.03538912581821426,tumor,0.6648094791557725,0.559535665397099
662,ENSG00000160097.20,ENSG00000160097,,0.035381773109239525,0.035381773109239525,tumor,1.648295579885019,1.2403673234422063
663,ENSG00000107242.20,ENSG00000107242,,-0.035335961381128086,0.035335961381128086,normal,2.2716967843330407,1.6076005123607475
